,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
C1orf116,0,0,2,2,0,1,0,0,0,0,0,0
C1orf168,4,4,9,10,5,22,1,5,3,0,0,1
C2,4,0,0,10,40,13,7,7,0,0,2,16
C20orf141,1,0,0,0,0,0,0,0,0,0,0,0
C21orf2,3,1,8,31,50,41,10,56,18,0,7,1
C21orf33,0,1,0,0,0,0,0,0,0,0,0,0
C22orf31,0,1,0,0,0,0,0,0,0,0,0,0
C22orf39,0,1,0,0,0,0,0,0,0,0,0,0
C2CD3,2,3,2,51,117,359,13,16,181,0,0,3
C2CD5,1,1,0,9,27,61,4,1,11,2,0,0
C2orf54,1,0,0,1,0,1,0,0,0,0,1,0
C2orf71,9,14,0,19,111,111,41,4,729,0,0,0
C3,1,0,0,54,18,78,19,80,33,4,8,66
C3AR1,4,18,0,1,43,88,0,0,2,0,0,0
C4BPA,1,0,0,15,8,52,0,0,4,0,0,0
C4orf26,0,1,0,45,1,5,0,0,2,0,0,0
C4orf50,0,0,2,0,0,0,0,0,0,0,0,0
C5,1,0,0,24,46,189,9,32,20,0,2,28
C5orf42,12,24,6,62,88,338,35,34,316,4,6,9
C6,0,3,49,18,43,130,5,47,0,1,0,10
C7,2,7,4,13,57,114,4,49,41,3,4,4
C8A,1,0,0,7,110,183,9,5,34,0,1,0
C8B,1,0,63,7,27,148,0,0,94,0,3,41
C8orf37,1,0,0,11,0,14,2,0,12,0,0,0
C9,3,0,28,17,10,161,7,0,9,1,0,2
C9orf50,0,0,2,0,0,4,0,0,0,0,0,0
C9orf72,13,0,0,3,3,4,4,1,0,0,0,2
CA1,0,2,0,6,34,0,0,4,0,0,0,0
CA12,0,6,0,7,11,1,14,14,7,0,19,25
CABIN1,1,0,0,68,123,537,29,46,365,3,3,12
CABP2,0,0,34,32,7,161,0,6,1,0,0,0
CACNA1B,1,0,0,43,128,92,37,112,214,4,6,11
CACNA1H,0,3,0,124,112,985,106,139,1074,6,7,58
CACNA1S,2,0,0,45,59,254,40,81,109,4,54,124
CACNA2D3,3,0,4,16,5,45,14,17,22,3,4,7
CACNA2D4,9,3,4,39,21,145,18,29,27,1,0,47
CACNB2,0,0,27,15,68,81,80,15,214,9,3,4
CALCR,0,1,0,25,9,202,1,10,3,0,3,0
CALHM1,0,0,5,13,9,35,5,16,32,0,0,0
CAMK4,2,0,0,2,7,1,2,2,3,2,7,8
CAMKMT,1,0,0,1,0,1,0,0,33,0,0,0
CAMP,2,0,293,4,9,62,1,3,0,0,1,52
CAMTA2,2,0,0,16,15,62,23,46,357,1,2,8
CANT1,4,0,0,7,11,67,25,7,5,2,0,4
CAPN10,1,5,0,29,71,247,9,5,134,0,1,1
CAPN12,6,4,2,34,49,120,6,33,50,0,10,0
CAPN13,2,5,0,17,81,88,7,30,7,1,0,5
CAPN15,0,0,1,0,0,0,0,1,2,0,0,1
CAPN3,3,26,0,22,28,10,33,29,45,0,0,10
CAPN5,0,1,1,21,22,34,15,21,73,0,0,0
