,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
C22orf39,0,1,0,0,0,0,0,0,0,0,0,1
C2CD3,2,0,3,46,122,355,9,24,187,0,0,5
C2CD5,3,0,0,8,27,54,4,4,6,2,0,0
C2orf54,1,0,0,1,0,2,0,0,0,0,2,0
C2orf71,6,13,0,10,113,128,42,13,761,0,0,0
C3,3,0,0,41,19,71,18,71,42,3,9,64
C3AR1,2,17,0,0,36,102,0,0,1,0,0,0
C4BPA,1,0,0,20,10,47,0,1,5,0,0,0
C4orf26,1,1,0,52,1,5,0,0,2,0,0,0
C4orf50,0,0,1,0,0,0,0,0,0,0,0,0
C5,1,0,0,22,35,154,15,33,15,0,3,24
C5orf42,13,19,10,66,79,363,31,32,331,3,4,14
C6,0,2,38,16,40,155,7,46,0,4,0,14
C6orf15,0,1,0,7,2,16,2,9,5,0,0,0
C7,4,10,1,14,63,83,5,48,56,1,2,6
C8A,1,0,0,7,100,186,7,6,46,0,2,0
C8B,0,0,68,2,26,165,4,3,110,0,1,29
C8orf37,2,0,0,3,0,16,2,0,13,0,0,0
C9,3,0,27,14,13,178,8,0,5,2,0,2
C9orf72,8,0,0,0,2,2,5,2,0,2,1,0
CA1,0,1,0,4,41,0,0,5,1,0,0,0
CA12,0,3,0,7,17,2,20,17,6,0,14,23
CA14,0,2,0,0,0,0,0,0,0,0,0,0
CABIN1,1,0,0,57,133,541,23,52,363,4,4,14
CABP2,0,0,36,33,7,177,0,5,1,0,0,0
CACNA1B,1,0,0,27,122,92,33,100,235,1,8,6
CACNA1H,0,3,0,118,108,943,86,137,1126,2,4,47
CACNA1S,1,0,0,55,55,250,40,87,118,4,50,110
CACNA2D3,5,0,3,20,8,50,11,22,28,2,3,10
CACNA2D4,11,2,3,37,25,122,20,28,26,0,3,52
CACNB2,0,0,26,22,60,66,65,12,207,9,2,6
CALHM1,0,0,4,12,9,28,5,14,29,0,0,1
